,X,id,value,location,dates,measure,micrograms,value1,normal
5468,5468,53006,39.92,Sakda,26-May-99,Chromium,1,39.92,1.05E-06
10289,10289,114016,39.92,Sakda,26-May-00,Chromium,1,39.92,1.05E-06
60107,60107,801860,39.54,Chai,07-Jul-07,Chromium,1,39.54,1.04E-06
45925,45925,696992,39.14,Chai,17-Mar-06,Chromium,1,39.14,1.03E-06
16635,16635,159031,39.12,Boonsri,14-Sep-01,Chromium,1,39.12,1.03E-06
3403,3403,5030,39,Kohsoom,13-Dec-98,Chromium,1,39,1.03E-06
10229,10229,107173,38,Somchair,20-May-00,Chromium,1,38,1.00E-06
9093,9093,114697,37.98,Sakda,19-Feb-00,Chromium,1,37.98,1.00E-06
8919,8919,111505,37.14,Kannika,18-Feb-00,Chromium,1,37.14,9.78E-07
3611,3611,6712,37,Somchair,19-Dec-98,Chromium,1,37,9.75E-07
4144,4144,45768,37,Kohsoom,13-Feb-99,Chromium,1,37,9.75E-07
13567,13567,174468,37,Sakda,25-Jan-01,Chromium,1,37,9.75E-07
13855,13855,168229,37,Somchair,18-Feb-01,Chromium,1,37,9.75E-07
26332,26332,300934,36.12,Busarakhan,15-Aug-03,Chromium,1,36.12,9.52E-07
3641,3641,6832,36,Busarakhan,19-Dec-98,Chromium,1,36,9.48E-07
26288,26288,300096,35.67,Chai,15-Aug-03,Chromium,1,35.67,9.40E-07
9446,9446,114734,35.14,Sakda,23-Mar-00,Chromium,1,35.14,9.26E-07
13915,13915,173757,35,Sakda,22-Feb-01,Chromium,1,35,9.22E-07
16756,16756,167052,35,Chai,22-Sep-01,Chromium,1,35,9.22E-07
16495,16495,172485,34.7,Kannika,28-Aug-01,Chromium,1,34.7,9.14E-07
28629,28629,521417,34.29,Sakda,29-Jan-04,Chromium,1,34.29,9.03E-07
18485,18485,236412,34.13,Chai,31-Mar-02,Chromium,1,34.13,8.99E-07
3862,3862,51296,34,Kannika,21-Jan-99,Chromium,1,34,8.96E-07
11374,11374,96962,34,Boonsri,17-Aug-00,Chromium,1,34,8.96E-07
11964,11964,104942,34,Chai,23-Sep-00,Chromium,1,34,8.96E-07
11336,11336,107267,33.6,Somchair,15-Aug-00,Chromium,1,33.6,8.85E-07
14353,14353,166117,33,Chai,31-Mar-01,Chromium,1,33,8.69E-07
21538,21538,235809,32.4,Chai,15-Oct-02,Chromium,1,32.4,8.54E-07
9206,9206,103903,32.15,Kohsoom,12-Mar-00,Chromium,1,32.15,8.47E-07
9506,9506,111542,32.14,Kannika,24-Mar-00,Chromium,1,32.14,8.47E-07
11348,11348,110905,32,Kannika,15-Aug-00,Chromium,1,32,8.43E-07
17120,17120,160440,31.85,Boonsri,15-Nov-01,Chromium,1,31.85,8.39E-07
21571,21571,242187,31.8,Kannika,15-Oct-02,Chromium,1,31.8,8.38E-07
7323,7323,48401,31,Somchair,21-Oct-99,Chromium,1,31,8.17E-07
14701,14701,168303,31,Somchair,29-Apr-01,Chromium,1,31,8.17E-07
9064,9064,113902,30.06,Sakda,19-Feb-00,Chromium,1,30.06,7.92E-07
1735,1735,8555,30,Kannika,26-Jul-98,Chromium,1,30,7.90E-07
1765,1765,9036,30,Kannika,26-Jul-98,Chromium,1,30,7.90E-07
1795,1795,9519,30,Kannika,26-Jul-98,Chromium,1,30,7.90E-07
2233,2233,8641,30,Kannika,20-Sep-98,Chromium,1,30,7.90E-07
2263,2263,9116,30,Kannika,20-Sep-98,Chromium,1,30,7.90E-07
2293,2293,9599,30,Kannika,20-Sep-98,Chromium,1,30,7.90E-07
3163,3163,6430,30,Chai,26-Nov-98,Chromium,1,30,7.90E-07
14585,14585,165399,30,Kohsoom,27-Apr-01,Chromium,1,30,7.90E-07
76154,76154,1009450,30,Somchair,25-Apr-09,Chromium,1,30,7.90E-07
8948,8948,112302,29.83,Kannika,18-Feb-00,Chromium,1,29.83,7.86E-07
5998,5998,45911,29.8,Kohsoom,15-Jul-99,Chromium,1,29.8,7.85E-07
26266,26266,298748,29.54,Chai,15-Aug-03,Chromium,1,29.54,7.78E-07
16579,16579,174717,29.48,Sakda,29-Aug-01,Chromium,1,29.48,7.77E-07
9416,9416,113939,29.32,Sakda,23-Mar-00,Chromium,1,29.32,7.72E-07
87888,87888,1324963,29.0764,Boonsri,18-Aug-10,Chromium,1,29.0764,7.66E-07
4341,4341,51330,29,Kannika,26-Feb-99,Chromium,1,29,7.64E-07
101366,101366,1967642,29,Decha,20-Sep-12,Chromium,1,29,7.64E-07
10199,10199,106383,28.91,Chai,19-May-00,Chromium,1,28.91,7.62E-07
11324,11324,104077,28.8,Kohsoom,15-Aug-00,Chromium,1,28.8,7.59E-07
16292,16292,165542,28.8,Kohsoom,26-Aug-01,Chromium,1,28.8,7.59E-07
9536,9536,112339,28.76,Kannika,24-Mar-00,Chromium,1,28.76,7.58E-07
679,679,2725,28,Boonsri,11-Apr-98,Chromium,1,28,7.38E-07
11938,11938,114958,28,Sakda,21-Sep-00,Chromium,1,28,7.38E-07
13410,13410,167481,28,Chai,16-Jan-01,Chromium,1,28,7.38E-07
13679,13679,172980,28,Kannika,27-Jan-01,Chromium,1,28,7.38E-07
14035,14035,172272,28,Kannika,24-Feb-01,Chromium,1,28,7.38E-07
14203,14203,174540,28,Sakda,22-Mar-01,Chromium,1,28,7.38E-07
14323,14323,173052,28,Kannika,25-Mar-01,Chromium,1,28,7.38E-07
98748,98748,1967371,28,Decha,16-Mar-12,Chromium,1,28,7.38E-07
8773,8773,103865,27.55,Kohsoom,12-Feb-00,Chromium,1,27.55,7.26E-07
8890,8890,110704,27.46,Kannika,18-Feb-00,Chromium,1,27.46,7.23E-07
1878,1878,8576,27.2,Kannika,15-Aug-98,Chromium,1,27.2,7.17E-07
2893,2893,4990,27,Kohsoom,14-Nov-98,Chromium,1,27,7.11E-07
15099,15099,167624,27,Chai,27-May-01,Chromium,1,27,7.11E-07
88835,88835,1327700,27,Busarakhan,30-Sep-10,Chromium,1,27,7.11E-07
6430,6430,45948,26.9,Kohsoom,15-Aug-99,Chromium,1,26.9,7.09E-07
10409,10409,111618,26.77,Kannika,27-May-00,Chromium,1,26.77,7.05E-07
9386,9386,113138,26.56,Sakda,23-Mar-00,Chromium,1,26.56,7.00E-07
17514,17514,165648,26.38,Kohsoom,09-Dec-01,Chromium,1,26.38,6.95E-07
9476,9476,110741,26.23,Kannika,24-Mar-00,Chromium,1,26.23,6.91E-07
12363,12363,107362,26,Somchair,17-Oct-00,Chromium,1,26,6.85E-07
14065,14065,173015,26,Kannika,24-Feb-01,Chromium,1,26,6.85E-07
14789,14789,172346,26,Kannika,29-Apr-01,Chromium,1,26,6.85E-07
18312,18312,243395,25.91,Kannika,26-Mar-02,Chromium,1,25.91,6.83E-07
64915,64915,800891,25.67,Kohsoom,22-Dec-07,Chromium,1,25.67,6.76E-07
6465,6465,52680,25.3,Sakda,15-Aug-99,Chromium,1,25.3,6.67E-07
9326,9326,107097,25.16,Somchair,19-Mar-00,Chromium,1,25.16,6.63E-07
17109,17109,159756,25.12,Boonsri,15-Nov-01,Chromium,1,25.12,6.62E-07
8092,8092,46097,25,Kohsoom,11-Dec-99,Chromium,1,25,6.59E-07
13383,13383,166765,25,Chai,16-Jan-01,Chromium,1,25,6.59E-07
13651,13651,172237,25,Kannika,27-Jan-01,Chromium,1,25,6.59E-07
14293,14293,172309,25,Kannika,25-Mar-01,Chromium,1,25,6.59E-07
88803,88803,1327104,25,Somchair,30-Sep-10,Chromium,1,25,6.59E-07
99281,99281,1967416,25,Decha,19-Apr-12,Chromium,1,25,6.59E-07
6444,6444,48315,24.9,Somchair,15-Aug-99,Chromium,1,24.9,6.56E-07
10109,10109,103980,24.81,Kohsoom,14-May-00,Chromium,1,24.81,6.54E-07
9035,9035,113101,24.66,Sakda,19-Feb-00,Chromium,1,24.66,6.50E-07
8977,8977,107060,24.6,Somchair,19-Feb-00,Chromium,1,24.6,6.48E-07
21224,21224,229563,24.5,Boonsri,10-Oct-02,Chromium,1,24.5,6.45E-07
8395,8395,106233,24.29,Chai,14-Jan-00,Chromium,1,24.29,6.40E-07
13200,13200,111069,24,Kannika,30-Dec-00,Chromium,1,24,6.32E-07
14173,14173,173794,24,Sakda,22-Mar-01,Chromium,1,24,6.32E-07
14905,14905,175323,24,Sakda,30-Apr-01,Chromium,1,24,6.32E-07
98388,98388,1967326,24,Decha,17-Feb-12,Chromium,1,24,6.32E-07
35004,35004,614523,23.75,Kannika,11-Feb-05,Chromium,1,23.75,6.26E-07
15904,15904,158966,23.43,Boonsri,27-Jul-01,Chromium,1,23.43,6.17E-07
11354,11354,113303,23.2,Sakda,15-Aug-00,Chromium,1,23.2,6.11E-07
15978,15978,165509,23.14,Kohsoom,27-Jul-01,Chromium,1,23.14,6.10E-07
12444,12444,111797,23,Kannika,18-Oct-00,Chromium,1,23,6.06E-07
13539,13539,173722,23,Sakda,25-Jan-01,Chromium,1,23,6.06E-07
13975,13975,175249,23,Sakda,22-Feb-01,Chromium,1,23,6.06E-07
89480,89480,1327750,23,Busarakhan,29-Oct-10,Chromium,1,23,6.06E-07
96666,96666,1617208,23,Decha,18-Nov-11,Chromium,1,23,6.06E-07
15612,15612,169083,22.9,Busarakhan,21-Jun-01,Chromium,1,22.9,6.03E-07
6342,6342,53833,22.62,Sakda,26-Jul-99,Chromium,1,22.62,5.96E-07
10319,10319,114810,22.62,Sakda,26-May-00,Chromium,1,22.62,5.96E-07
8861,8861,106270,22.42,Chai,18-Feb-00,Chromium,1,22.42,5.91E-07
18159,18159,227460,22.25,Boonsri,21-Mar-02,Chromium,1,22.25,5.86E-07
37216,37216,602531,22.139999,Kohsoom,25-Apr-05,Chromium,1,22.139999,5.83E-07
87964,87964,1326367,22.123,Boonsri,18-Aug-10,Chromium,1,22.123,5.83E-07
6019,6019,49052,22.1,Busarakhan,15-Jul-99,Chromium,1,22.1,5.82E-07
3690,3690,41747,22,Boonsri,09-Jan-99,Chromium,1,22,5.80E-07
3943,3943,48868,22,Busarakhan,27-Jan-99,Chromium,1,22,5.80E-07
5208,5208,52975,22,Sakda,26-Apr-99,Chromium,1,22,5.80E-07
6026,6026,51062,22,Kannika,15-Jul-99,Chromium,1,22,5.80E-07
11483,11483,104908,22,Chai,26-Aug-00,Chromium,1,22,5.80E-07
13945,13945,174503,22,Sakda,22-Feb-01,Chromium,1,22,5.80E-07
14413,14413,167552,22,Chai,31-Mar-01,Chromium,1,22,5.80E-07
95504,95504,1617155,22,Decha,15-Sep-11,Chromium,1,22,5.80E-07
97752,97752,1967284,22,Decha,20-Jan-12,Chromium,1,22,5.80E-07
99676,99676,1967461,22,Decha,19-May-12,Chromium,1,22,5.80E-07
10977,10977,104841,21.9,Chai,15-Jul-00,Chromium,1,21.9,5.77E-07
16351,16351,167016,21.77,Chai,26-Aug-01,Chromium,1,21.77,5.74E-07
8832,8832,105478,21.73,Chai,18-Feb-00,Chromium,1,21.73,5.72E-07
8424,8424,107023,21.67,Somchair,15-Jan-00,Chromium,1,21.67,5.71E-07
9296,9296,106307,21.42,Chai,18-Mar-00,Chromium,1,21.42,5.64E-07
17433,17433,159099,21.3,Boonsri,07-Dec-01,Chromium,1,21.3,5.61E-07
8713,8713,97532,21.06,Boonsri,10-Feb-00,Chromium,1,21.06,5.55E-07
1428,1428,6551,21,Somchair,29-Jun-98,Chromium,1,21,5.53E-07
1855,1855,2888,21,Boonsri,08-Aug-98,Chromium,1,21,5.53E-07
2443,2443,2605,21,Boonsri,03-Oct-98,Chromium,1,21,5.53E-07
3836,3836,50879,21,Kannika,21-Jan-99,Chromium,1,21,5.53E-07
12416,12416,110999,21,Kannika,18-Oct-00,Chromium,1,21,5.53E-07
14263,14263,171565,21,Kannika,25-Mar-01,Chromium,1,21,5.53E-07
14443,14443,168266,21,Somchair,31-Mar-01,Chromium,1,21,5.53E-07
95868,95868,1617182,21,Decha,13-Oct-11,Chromium,1,21,5.53E-07
97424,97424,1617235,21,Decha,17-Dec-11,Chromium,1,21,5.53E-07
6005,6005,46327,20.9,Chai,15-Jul-99,Chromium,1,20.9,5.51E-07
8482,8482,103830,20.14,Kohsoom,16-Jan-00,Chromium,1,20.14,5.31E-07
933,933,9396,20,Kannika,18-Apr-98,Chromium,1,20,5.27E-07
1149,1149,8474,20,Kannika,26-May-98,Chromium,1,20,5.27E-07
1179,1179,8955,20,Kannika,26-May-98,Chromium,1,20,5.27E-07
1209,1209,9438,20,Kannika,26-May-98,Chromium,1,20,5.27E-07
2053,2053,8601,20,Kannika,25-Aug-98,Chromium,1,20,5.27E-07
2923,2923,8721,20,Kannika,20-Nov-98,Chromium,1,20,5.27E-07
3491,3491,9719,20,Kannika,17-Dec-98,Chromium,1,20,5.27E-07
7220,7220,46034,20,Kohsoom,20-Oct-99,Chromium,1,20,5.27E-07
7588,7588,46067,20,Kohsoom,07-Nov-99,Chromium,1,20,5.27E-07
7693,7693,48434,20,Somchair,20-Nov-99,Chromium,1,20,5.27E-07
11565,11565,107293,20,Somchair,27-Aug-00,Chromium,1,20,5.27E-07
12498,12498,113398,20,Sakda,19-Oct-00,Chromium,1,20,5.27E-07
12655,12655,104208,20,Kohsoom,12-Nov-00,Chromium,1,20,5.27E-07
12913,12913,111832,20,Kannika,25-Nov-00,Chromium,1,20,5.27E-07
12965,12965,105046,20,Chai,03-Dec-00,Chromium,1,20,5.27E-07
13043,13043,107431,20,Somchair,04-Dec-00,Chromium,1,20,5.27E-07
14233,14233,175286,20,Sakda,22-Mar-01,Chromium,1,20,5.27E-07
86325,86325,1328087,20,Decha,17-Jun-10,Chromium,1,20,5.27E-07
93219,93219,1617027,20,Decha,20-May-11,Chromium,1,20,5.27E-07
100611,100611,1967551,20,Decha,20-Jul-12,Chromium,1,20,5.27E-07
98969,98969,2221493,19.8,Kohsoom,29-Mar-12,Chromium,1,19.8,5.22E-07
10379,10379,110817,19.77,Kannika,27-May-00,Chromium,1,19.77,5.21E-07
21099,21099,227763,19.63,Boonsri,27-Sep-02,Chromium,1,19.63,5.17E-07
9356,9356,107904,19.62,Busarakhan,19-Mar-00,Chromium,1,19.62,5.17E-07
6012,6012,48277,19.5,Somchair,15-Jul-99,Chromium,1,19.5,5.14E-07
9266,9266,105515,19.37,Chai,18-Mar-00,Chromium,1,19.37,5.10E-07
9152,9152,97570,19.22,Boonsri,10-Mar-00,Chromium,1,19.22,5.06E-07
46115,46115,686707,19.11,Boonsri,23-Mar-06,Chromium,1,19.11,5.03E-07
5438,5438,52591,19.08,Sakda,26-May-99,Chromium,1,19.08,5.03E-07
8803,8803,104675,19.08,Chai,18-Feb-00,Chromium,1,19.08,5.03E-07
10259,10259,113215,19.08,Sakda,26-May-00,Chromium,1,19.08,5.03E-07
1366,1366,5751,19,Chai,28-Jun-98,Chromium,1,19,5.01E-07
1825,1825,2525,19,Boonsri,08-Aug-98,Chromium,1,19,5.01E-07
2473,2473,2968,19,Boonsri,03-Oct-98,Chromium,1,19,5.01E-07
4032,4032,47326,19,Chai,30-Jan-99,Chromium,1,19,5.01E-07
4061,4061,41018,19,Boonsri,11-Feb-99,Chromium,1,19,5.01E-07
4198,4198,46960,19,Chai,18-Feb-99,Chromium,1,19,5.01E-07
6221,6221,48302,19,Somchair,24-Jul-99,Chromium,1,19,5.01E-07
6245,6245,49077,19,Busarakhan,24-Jul-99,Chromium,1,19,5.01E-07
7404,7404,51585,19,Kannika,22-Oct-99,Chromium,1,19,5.01E-07
11230,11230,112493,19,Kannika,28-Jul-00,Chromium,1,19,5.01E-07
12939,12939,112631,19,Kannika,25-Nov-00,Chromium,1,19,5.01E-07
14503,14503,158861,19,Boonsri,19-Apr-01,Chromium,1,19,5.01E-07
73772,73772,1010806,19,Decha,21-Jan-09,Chromium,1,19,5.01E-07
77690,77690,1010982,19,Decha,20-Jun-09,Chromium,1,19,5.01E-07
35959,35959,604845,18.879999,Chai,17-Mar-05,Chromium,1,18.879999,4.97E-07
60851,60851,806387,18.87,Somchair,22-Jul-07,Chromium,1,18.87,4.97E-07
15952,15952,160331,18.75,Boonsri,27-Jul-01,Chromium,1,18.75,4.94E-07
60156,60156,803469,18.59,Chai,07-Jul-07,Chromium,1,18.59,4.90E-07
8280,8280,97494,18.55,Boonsri,14-Jan-00,Chromium,1,18.55,4.89E-07
9122,9122,96774,18.45,Boonsri,10-Mar-00,Chromium,1,18.45,4.86E-07
26310,26310,300560,18.33,Somchair,15-Aug-03,Chromium,1,18.33,4.83E-07
8366,8366,105441,18.21,Chai,14-Jan-00,Chromium,1,18.21,4.80E-07
63241,63241,800784,18.2,Kohsoom,27-Oct-07,Chromium,1,18.2,4.79E-07
742,742,5186,18,Chai,17-Apr-98,Chromium,1,18,4.74E-07
4257,4257,48137,18,Somchair,20-Feb-99,Chromium,1,18,4.74E-07
4424,4424,52907,18,Sakda,27-Feb-99,Chromium,1,18,4.74E-07
6458,6458,51101,18,Kannika,15-Aug-99,Chromium,1,18,4.74E-07
6534,6534,45973,18,Kohsoom,28-Aug-99,Chromium,1,18,4.74E-07
6997,6997,49145,18,Busarakhan,18-Sep-99,Chromium,1,18,4.74E-07
7458,7458,52770,18,Sakda,23-Oct-99,Chromium,1,18,4.74E-07
11619,11619,110931,18,Kannika,28-Aug-00,Chromium,1,18,4.74E-07
12256,12256,104174,18,Kohsoom,15-Oct-00,Chromium,1,18,4.74E-07
12887,12887,111035,18,Kannika,25-Nov-00,Chromium,1,18,4.74E-07
13017,13017,106624,18,Chai,03-Dec-00,Chromium,1,18,4.74E-07
13826,13826,165329,18,Kohsoom,18-Feb-01,Chromium,1,18,4.74E-07
14383,14383,166836,18,Chai,31-Mar-01,Chromium,1,18,4.74E-07
76664,76664,1010950,18,Decha,17-May-09,Chromium,1,18,4.74E-07
92211,92211,1616960,18,Decha,17-Mar-11,Chromium,1,18,4.74E-07
98546,98546,2221441,18,Kohsoom,23-Feb-12,Chromium,1,18,4.74E-07
101050,101050,2221758,18,Kohsoom,23-Aug-12,Chromium,1,18,4.74E-07
101832,101832,1967688,18,Decha,19-Oct-12,Chromium,1,18,4.74E-07
8654,8654,114660,17.93,Sakda,19-Jan-00,Chromium,1,17.93,4.72E-07
30610,30610,513687,17.87,Chai,29-May-04,Chromium,1,17.87,4.71E-07
8310,8310,98286,17.78,Boonsri,14-Jan-00,Chromium,1,17.78,4.68E-07
18510,18510,237355,17.55,Chai,31-Mar-02,Chromium,1,17.55,4.62E-07
1872,1872,5329,17.4,Chai,15-Aug-98,Chromium,1,17.4,4.58E-07
18386,18386,245484,17.37,Sakda,28-Mar-02,Chromium,1,17.37,4.58E-07
9179,9179,98359,17.31,Boonsri,10-Mar-00,Chromium,1,17.31,4.56E-07
100253,100253,2221652,17.3,Kohsoom,21-Jun-12,Chromium,1,17.3,4.56E-07
18182,18182,228371,17.17,Boonsri,21-Mar-02,Chromium,1,17.17,4.52E-07
60803,60803,800597,17.16,Kohsoom,21-Jul-07,Chromium,1,17.16,4.52E-07
8683,8683,96736,17.12,Boonsri,10-Feb-00,Chromium,1,17.12,4.51E-07
8596,8596,113064,17.08,Sakda,19-Jan-00,Chromium,1,17.08,4.50E-07
9236,9236,104712,17.08,Chai,18-Mar-00,Chromium,1,17.08,4.50E-07
17,17,2242,17,Boonsri,11-Jan-98,Chromium,1,17,4.48E-07
7271,7271,47222,17,Chai,21-Oct-99,Chromium,1,17,4.48E-07
11428,11428,98543,17,Boonsri,17-Aug-00,Chromium,1,17,4.48E-07
11754,11754,114924,17,Sakda,29-Aug-00,Chromium,1,17,4.48E-07
12471,12471,112596,17,Kannika,18-Oct-00,Chromium,1,17,4.48E-07
12525,12525,114193,17,Sakda,19-Oct-00,Chromium,1,17,4.48E-07
12552,12552,114992,17,Sakda,19-Oct-00,Chromium,1,17,4.48E-07
12605,12605,97858,17,Boonsri,10-Nov-00,Chromium,1,17,4.48E-07
12836,12836,115027,17,Sakda,23-Nov-00,Chromium,1,17,4.48E-07
13356,13356,166046,17,Chai,16-Jan-01,Chromium,1,17,4.48E-07
13623,13623,171493,17,Kannika,27-Jan-01,Chromium,1,17,4.48E-07
39728,39728,602679,17,Kohsoom,24-Jul-05,Chromium,1,17,4.48E-07
80200,80200,1011077,17,Decha,18-Sep-09,Chromium,1,17,4.48E-07
93552,93552,1617064,17,Decha,17-Jun-11,Chromium,1,17,4.48E-07
100887,100887,1967597,17,Decha,17-Aug-12,Chromium,1,17,4.48E-07
101915,101915,2221813,17,Kohsoom,25-Oct-12,Chromium,1,17,4.48E-07
102856,102856,1967780,17,Decha,15-Dec-12,Chromium,1,17,4.48E-07
15642,15642,171674,16.9,Kannika,21-Jun-01,Chromium,1,16.9,4.45E-07
15928,15928,159648,16.75,Boonsri,27-Jul-01,Chromium,1,16.75,4.41E-07
36812,36812,604941,16.709999,Chai,11-Apr-05,Chromium,1,16.709999,4.40E-07
15520,15520,166945,16.5,Chai,19-Jun-01,Chromium,1,16.5,4.35E-07
15791,15791,175395,16.4,Sakda,21-Jun-01,Chromium,1,16.4,4.32E-07
34219,34219,613531,16.4,Kannika,16-Jan-05,Chromium,1,16.4,4.32E-07
88606,88606,1325037,16.25,Boonsri,25-Sep-10,Chromium,1,16.25,4.28E-07
56626,56626,790965,16.11,Boonsri,22-Mar-07,Chromium,1,16.11,4.24E-07
46314,46314,699899,16.02,Chai,29-Mar-06,Chromium,1,16.02,4.22E-07
3073,3073,10168,16,Sakda,20-Nov-98,Chromium,1,16,4.22E-07
7350,7350,49176,16,Busarakhan,22-Oct-99,Chromium,1,16,4.22E-07
11510,11510,105699,16,Chai,26-Aug-00,Chromium,1,16,4.22E-07
11646,11646,111727,16,Kannika,28-Aug-00,Chromium,1,16,4.22E-07
12784,12784,113433,16,Sakda,23-Nov-00,Chromium,1,16,4.22E-07
12810,12810,114228,16,Sakda,23-Nov-00,Chromium,1,16,4.22E-07
13069,13069,108239,16,Busarakhan,04-Dec-00,Chromium,1,16,4.22E-07
13095,13095,97099,16,Boonsri,08-Dec-00,Chromium,1,16,4.22E-07
13252,13252,112665,16,Kannika,30-Dec-00,Chromium,1,16,4.22E-07
13796,13796,167515,16,Chai,17-Feb-01,Chromium,1,16,4.22E-07
14731,14731,169011,16,Busarakhan,29-Apr-01,Chromium,1,16,4.22E-07
83505,83505,1327902,16,Decha,17-Jan-10,Chromium,1,16,4.22E-07
89448,89448,1327154,16,Somchair,29-Oct-10,Chromium,1,16,4.22E-07
89962,89962,1328243,16,Decha,18-Nov-10,Chromium,1,16,4.22E-07
94524,94524,1617096,16,Decha,20-Jul-11,Chromium,1,16,4.22E-07
16523,16523,173229,15.9,Kannika,28-Aug-01,Chromium,1,15.9,4.19E-07
29879,29879,513609,15.84,Chai,12-Apr-04,Chromium,1,15.84,4.17E-07
8625,8625,113865,15.81,Sakda,19-Jan-00,Chromium,1,15.81,4.16E-07
18207,18207,229226,15.8,Boonsri,21-Mar-02,Chromium,1,15.8,4.16E-07
60684,60684,801908,15.68,Chai,19-Jul-07,Chromium,1,15.68,4.13E-07
17132,17132,165618,15.66,Kohsoom,15-Nov-01,Chromium,1,15.66,4.13E-07
48336,48336,683730,15.6,Boonsri,22-Jun-06,Chromium,1,15.6,4.11E-07
88972,88972,1325108,15.48,Boonsri,15-Oct-10,Chromium,1,15.48,4.08E-07
25523,25523,303651,15.44,Kannika,26-Jun-03,Chromium,1,15.44,4.07E-07
16857,16857,171777,15.42,Kannika,25-Sep-01,Chromium,1,15.42,4.06E-07
8337,8337,104638,15.41,Chai,14-Jan-00,Chromium,1,15.41,4.06E-07
18682,18682,235499,15.32,Chai,25-Apr-02,Chromium,1,15.32,4.04E-07
18753,18753,234710,15.32,Kohsoom,27-Apr-02,Chromium,1,15.32,4.04E-07
18110,18110,236383,15.26,Chai,16-Mar-02,Chromium,1,15.26,4.02E-07
9006,9006,107867,15.12,Busarakhan,19-Feb-00,Chromium,1,15.12,3.98E-07
99382,99382,2221546,15.1,Kohsoom,27-Apr-12,Chromium,1,15.1,3.98E-07
56925,56925,807276,15.08,Busarakhan,28-Mar-07,Chromium,1,15.08,3.97E-07
647,647,2362,15,Boonsri,11-Apr-98,Chromium,1,15,3.95E-07
1397,1397,6229,15,Chai,28-Jun-98,Chromium,1,15,3.95E-07
4168,4168,46169,15,Chai,18-Feb-99,Chromium,1,15,3.95E-07
4453,4453,53669,15,Sakda,27-Feb-99,Chromium,1,15,3.95E-07
5721,5721,45898,15,Kohsoom,18-Jun-99,Chromium,1,15,3.95E-07
6949,6949,46003,15,Kohsoom,18-Sep-99,Chromium,1,15,3.95E-07
10730,10730,108019,15,Busarakhan,26-Jun-00,Chromium,1,15,3.95E-07
10874,10874,104018,15,Kohsoom,29-Jun-00,Chromium,1,15,3.95E-07
11673,11673,112528,15,Kannika,28-Aug-00,Chromium,1,15,3.95E-07
11727,11727,114125,15,Sakda,29-Aug-00,Chromium,1,15,3.95E-07
12758,12758,107397,15,Somchair,23-Nov-00,Chromium,1,15,3.95E-07
