,X,id,value,location,dates,measure,micrograms,value1,value2
3208,3208,6777,0.57,Busarakhan,28-Nov-98,Ammonium,1000,570,0.038334791
3238,3238,2670,0.14,Boonsri,05-Dec-98,Ammonium,1000,140,0.009415563
3268,3268,3033,0.11,Boonsri,05-Dec-98,Ammonium,1000,110,0.007397942
3298,3298,9830,0.13,Sakda,10-Dec-98,Ammonium,1000,130,0.008743022
3328,3328,10073,0.13,Sakda,10-Dec-98,Ammonium,1000,130,0.008743022
3358,3358,10193,0.12,Sakda,10-Dec-98,Ammonium,1000,120,0.008070482
3388,3388,5015,0.34,Kohsoom,13-Dec-98,Ammonium,1000,340,0.022866366
3417,3417,8740,0.11,Kannika,17-Dec-98,Ammonium,1000,110,0.007397942
3446,3446,9221,0.17,Kannika,17-Dec-98,Ammonium,1000,170,0.011433183
3476,3476,9704,0.18,Kannika,17-Dec-98,Ammonium,1000,180,0.012105723
3506,3506,5499,0.27,Chai,18-Dec-98,Ammonium,1000,270,0.018158585
3536,3536,5977,0.39,Chai,18-Dec-98,Ammonium,1000,390,0.026229067
3566,3566,6455,0.27,Chai,18-Dec-98,Ammonium,1000,270,0.018158585
3596,3596,6697,1.47,Somchair,19-Dec-98,Ammonium,1000,1470,0.098863407
3626,3626,6817,0.47,Busarakhan,19-Dec-98,Ammonium,1000,470,0.031609389
3657,3657,40979,0.43,Boonsri,09-Jan-99,Ammonium,1000,430,0.028919228
3675,3675,41732,0.54,Boonsri,09-Jan-99,Ammonium,1000,540,0.03631717
3700,3700,42113,0.38,Boonsri,09-Jan-99,Ammonium,1000,380,0.025556527
3718,3718,45721,0.4,Kohsoom,16-Jan-99,Ammonium,1000,400,0.026901607
3743,3743,52439,0.49,Sakda,16-Jan-99,Ammonium,1000,490,0.032954469
3769,3769,52860,0.48,Sakda,16-Jan-99,Ammonium,1000,480,0.032281929
3795,3795,53621,0.49,Sakda,16-Jan-99,Ammonium,1000,490,0.032954469
3821,3821,50864,0.46,Kannika,21-Jan-99,Ammonium,1000,460,0.030936848
3847,3847,51281,0.45,Kannika,21-Jan-99,Ammonium,1000,450,0.030264308
3873,3873,52038,0.46,Kannika,21-Jan-99,Ammonium,1000,460,0.030936848
3899,3899,48085,2.62,Somchair,27-Jan-99,Ammonium,1000,2620,0.176205528
3928,3928,48853,1.76,Busarakhan,27-Jan-99,Ammonium,1000,1760,0.118367072
3957,3957,46115,0.67,Chai,30-Jan-99,Ammonium,1000,670,0.045060192
3987,3987,46907,0.74,Chai,30-Jan-99,Ammonium,1000,740,0.049767974
4017,4017,47311,0.56,Chai,30-Jan-99,Ammonium,1000,560,0.03766225
4046,4046,41003,0.66,Boonsri,11-Feb-99,Ammonium,1000,660,0.044387652
4074,4074,41762,0.83,Boonsri,11-Feb-99,Ammonium,1000,830,0.055820835
4102,4102,42137,0.48,Boonsri,11-Feb-99,Ammonium,1000,480,0.032281929
4129,4129,45753,1.6,Kohsoom,13-Feb-99,Ammonium,1000,1600,0.107606429
4153,4153,46154,0.76,Chai,18-Feb-99,Ammonium,1000,760,0.051113054
4183,4183,46945,0.24,Chai,18-Feb-99,Ammonium,1000,240,0.016140964
4213,4213,47349,0.44,Chai,18-Feb-99,Ammonium,1000,440,0.029591768
4242,4242,48122,3.4,Somchair,20-Feb-99,Ammonium,1000,3400,0.228663663
4270,4270,48890,0.55,Busarakhan,20-Feb-99,Ammonium,1000,550,0.03698971
4298,4298,50897,0.93,Kannika,26-Feb-99,Ammonium,1000,930,0.062546237
4326,4326,51315,0.91,Kannika,26-Feb-99,Ammonium,1000,910,0.061201157
4354,4354,52071,0.98,Kannika,26-Feb-99,Ammonium,1000,980,0.065908938
4380,4380,52472,0.66,Sakda,27-Feb-99,Ammonium,1000,660,0.044387652
4409,4409,52892,0.65,Sakda,27-Feb-99,Ammonium,1000,650,0.043715112
4438,4438,53654,0.65,Sakda,27-Feb-99,Ammonium,1000,650,0.043715112
4465,4465,41038,0.59,Boonsri,11-Mar-99,Ammonium,1000,590,0.039679871
4493,4493,41796,0.51,Boonsri,11-Mar-99,Ammonium,1000,510,0.034299549
4518,4518,42171,0.58,Boonsri,11-Mar-99,Ammonium,1000,580,0.039007331
4543,4543,45783,0.24,Kohsoom,13-Mar-99,Ammonium,1000,240,0.016140964
4572,4572,46193,0.12,Chai,17-Mar-99,Ammonium,1000,120,0.008070482
4601,4601,46983,0.24,Chai,17-Mar-99,Ammonium,1000,240,0.016140964
4629,4629,47387,0.09,Chai,17-Mar-99,Ammonium,1000,90,0.006052862
4657,4657,48158,3.1,Somchair,19-Mar-99,Ammonium,1000,3100,0.208487457
4685,4685,48926,0.13,Busarakhan,19-Mar-99,Ammonium,1000,130,0.008743022
4713,4713,50932,0.55,Kannika,24-Mar-99,Ammonium,1000,550,0.03698971
4741,4741,51349,0.55,Kannika,24-Mar-99,Ammonium,1000,550,0.03698971
4767,4767,52104,0.55,Kannika,24-Mar-99,Ammonium,1000,550,0.03698971
4793,4793,52508,0.24,Sakda,25-Mar-99,Ammonium,1000,240,0.016140964
4822,4822,52927,0.24,Sakda,25-Mar-99,Ammonium,1000,240,0.016140964
4848,4848,53688,0.24,Sakda,25-Mar-99,Ammonium,1000,240,0.016140964
4873,4873,41073,0.17,Boonsri,16-Apr-99,Ammonium,1000,170,0.011433183
4898,4898,41827,0.18,Boonsri,16-Apr-99,Ammonium,1000,180,0.012105723
4922,4922,42203,0.19,Boonsri,16-Apr-99,Ammonium,1000,190,0.012778264
4948,4948,45818,1.17,Kohsoom,22-Apr-99,Ammonium,1000,1170,0.078687202
4974,4974,46230,0.16,Chai,22-Apr-99,Ammonium,1000,160,0.010760643
5000,5000,47018,0.15,Chai,22-Apr-99,Ammonium,1000,150,0.010088103
5025,5025,47423,0.16,Chai,22-Apr-99,Ammonium,1000,160,0.010760643
5050,5050,48192,0.24,Somchair,23-Apr-99,Ammonium,1000,240,0.016140964
5075,5075,48961,0.24,Busarakhan,23-Apr-99,Ammonium,1000,240,0.016140964
5099,5099,50968,0.21,Kannika,23-Apr-99,Ammonium,1000,210,0.014123344
5122,5122,51382,0.19,Kannika,23-Apr-99,Ammonium,1000,190,0.012778264
5146,5146,52138,0.17,Kannika,23-Apr-99,Ammonium,1000,170,0.011433183
5171,5171,52545,0.19,Sakda,26-Apr-99,Ammonium,1000,190,0.012778264
5193,5193,52960,0.2,Sakda,26-Apr-99,Ammonium,1000,200,0.013450804
5216,5216,53722,0.17,Sakda,26-Apr-99,Ammonium,1000,170,0.011433183
5239,5239,41106,0.34,Boonsri,13-May-99,Ammonium,1000,340,0.022866366
5266,5266,41858,0.17,Boonsri,13-May-99,Ammonium,1000,170,0.011433183
5292,5292,42237,0.38,Boonsri,13-May-99,Ammonium,1000,380,0.025556527
5318,5318,45850,0.5,Kohsoom,15-May-99,Ammonium,1000,500,0.033627009
5344,5344,46264,0.23,Chai,20-May-99,Ammonium,1000,230,0.015468424
5370,5370,47050,0.25,Chai,20-May-99,Ammonium,1000,250,0.016813505
5396,5396,47456,0.16,Chai,20-May-99,Ammonium,1000,160,0.010760643
5423,5423,52576,1.44,Sakda,26-May-99,Ammonium,1000,1440,0.096845787
5453,5453,52991,0.81,Sakda,26-May-99,Ammonium,1000,810,0.054475755
5482,5482,53753,0.43,Sakda,26-May-99,Ammonium,1000,430,0.028919228
5507,5507,48222,0.86,Somchair,27-May-99,Ammonium,1000,860,0.057838456
5532,5532,48991,0.86,Busarakhan,27-May-99,Ammonium,1000,860,0.057838456
5558,5558,50999,0.34,Kannika,28-May-99,Ammonium,1000,340,0.022866366
5584,5584,51413,0.31,Kannika,28-May-99,Ammonium,1000,310,0.020848746
5609,5609,52171,0.31,Kannika,28-May-99,Ammonium,1000,310,0.020848746
5635,5635,41141,0.15,Boonsri,06-Jun-99,Ammonium,1000,150,0.010088103
5659,5659,41891,0.18,Boonsri,06-Jun-99,Ammonium,1000,180,0.012105723
5683,5683,42271,0.16,Boonsri,06-Jun-99,Ammonium,1000,160,0.010760643
5706,5706,45883,0.88,Kohsoom,18-Jun-99,Ammonium,1000,880,0.059183536
5731,5731,46298,0.18,Chai,19-Jun-99,Ammonium,1000,180,0.012105723
5756,5756,47083,0.15,Chai,19-Jun-99,Ammonium,1000,150,0.010088103
5780,5780,47490,0.15,Chai,19-Jun-99,Ammonium,1000,150,0.010088103
5803,5803,48253,0.2,Somchair,22-Jun-99,Ammonium,1000,200,0.013450804
5824,5824,49024,0.2,Busarakhan,22-Jun-99,Ammonium,1000,200,0.013450804
5849,5849,51033,0.24,Kannika,23-Jun-99,Ammonium,1000,240,0.016140964
5874,5874,51445,0.16,Kannika,23-Jun-99,Ammonium,1000,160,0.010760643
5899,5899,52205,0.17,Kannika,23-Jun-99,Ammonium,1000,170,0.011433183
5923,5923,52613,0.05,Sakda,25-Jun-99,Ammonium,1000,50,0.003362701
5947,5947,53027,0.06,Sakda,25-Jun-99,Ammonium,1000,60,0.004035241
5972,5972,53786,0.05,Sakda,25-Jun-99,Ammonium,1000,50,0.003362701
6038,6038,41172,0.17,Boonsri,22-Jul-99,Ammonium,1000,170,0.011433183
6062,6062,41921,0.12,Boonsri,22-Jul-99,Ammonium,1000,120,0.008070482
6086,6086,42301,0.17,Boonsri,22-Jul-99,Ammonium,1000,170,0.011433183
6110,6110,46338,0.39,Chai,22-Jul-99,Ammonium,1000,390,0.026229067
6134,6134,47114,0.4,Chai,22-Jul-99,Ammonium,1000,400,0.026901607
6158,6158,47521,0.46,Chai,22-Jul-99,Ammonium,1000,460,0.030936848
6182,6182,45921,0.56,Kohsoom,24-Jul-99,Ammonium,1000,560,0.03766225
6206,6206,48287,0.8,Somchair,24-Jul-99,Ammonium,1000,800,0.053803215
6230,6230,49062,0.4,Busarakhan,24-Jul-99,Ammonium,1000,400,0.026901607
6254,6254,51073,0.36,Kannika,25-Jul-99,Ammonium,1000,360,0.024211447
6278,6278,51477,0.42,Kannika,25-Jul-99,Ammonium,1000,420,0.028246688
6302,6302,52237,0.33,Kannika,25-Jul-99,Ammonium,1000,330,0.022193826
6327,6327,53818,0.8,Sakda,26-Jul-99,Ammonium,1000,800,0.053803215
6356,6356,52652,0.45,Sakda,28-Jul-99,Ammonium,1000,450,0.030264308
6380,6380,53059,0.33,Sakda,28-Jul-99,Ammonium,1000,330,0.022193826
6404,6404,53855,0.4,Sakda,28-Jul-99,Ammonium,1000,400,0.026901607
6470,6470,41204,0.15,Boonsri,19-Aug-99,Ammonium,1000,150,0.010088103
6494,6494,41952,0.18,Boonsri,19-Aug-99,Ammonium,1000,180,0.012105723
6519,6519,45958,1.59,Kohsoom,28-Aug-99,Ammonium,1000,1590,0.106933889
6543,6543,46377,0.21,Chai,28-Aug-99,Ammonium,1000,210,0.014123344
6567,6567,47145,0.2,Chai,28-Aug-99,Ammonium,1000,200,0.013450804
6591,6591,47553,0.21,Chai,28-Aug-99,Ammonium,1000,210,0.014123344
6615,6615,48325,0.9,Somchair,29-Aug-99,Ammonium,1000,900,0.060528617
6639,6639,49100,0.29,Busarakhan,30-Aug-99,Ammonium,1000,290,0.019503665
6663,6663,51112,0.24,Kannika,30-Aug-99,Ammonium,1000,240,0.016140964
6687,6687,51508,0.17,Kannika,30-Aug-99,Ammonium,1000,170,0.011433183
6711,6711,52269,0.2,Kannika,30-Aug-99,Ammonium,1000,200,0.013450804
6735,6735,52691,0.17,Sakda,31-Aug-99,Ammonium,1000,170,0.011433183
6759,6759,53090,0.18,Sakda,31-Aug-99,Ammonium,1000,180,0.012105723
6783,6783,53887,0.19,Sakda,31-Aug-99,Ammonium,1000,190,0.012778264
6807,6807,41235,0.12,Boonsri,16-Sep-99,Ammonium,1000,120,0.008070482
6834,6834,41982,0.1,Boonsri,16-Sep-99,Ammonium,1000,100,0.006725402
6862,6862,46409,0.37,Chai,16-Sep-99,Ammonium,1000,370,0.024883987
6886,6886,47176,0.45,Chai,16-Sep-99,Ammonium,1000,450,0.030264308
6910,6910,47585,0.34,Chai,16-Sep-99,Ammonium,1000,340,0.022866366
6934,6934,45988,2.4,Kohsoom,18-Sep-99,Ammonium,1000,2400,0.161409644
6958,6958,48355,0.57,Somchair,18-Sep-99,Ammonium,1000,570,0.038334791
6982,6982,49130,1.1,Busarakhan,18-Sep-99,Ammonium,1000,1100,0.07397942
7006,7006,51144,0.35,Kannika,19-Sep-99,Ammonium,1000,350,0.023538906
7030,7030,51539,0.38,Kannika,19-Sep-99,Ammonium,1000,380,0.025556527
7054,7054,52301,0.42,Kannika,19-Sep-99,Ammonium,1000,420,0.028246688
7078,7078,52723,0.26,Sakda,21-Sep-99,Ammonium,1000,260,0.017486045
7102,7102,53121,0.25,Sakda,21-Sep-99,Ammonium,1000,250,0.016813505
7126,7126,53919,0.44,Sakda,21-Sep-99,Ammonium,1000,440,0.029591768
7150,7150,41270,0.1,Boonsri,10-Oct-99,Ammonium,1000,100,0.006725402
7177,7177,42016,0.11,Boonsri,10-Oct-99,Ammonium,1000,110,0.007397942
7205,7205,46019,1.8,Kohsoom,20-Oct-99,Ammonium,1000,1800,0.121057233
7232,7232,46441,0.19,Chai,21-Oct-99,Ammonium,1000,190,0.012778264
7256,7256,47207,0.16,Chai,21-Oct-99,Ammonium,1000,160,0.010760643
7283,7283,47617,0.2,Chai,21-Oct-99,Ammonium,1000,200,0.013450804
7308,7308,48386,0.32,Somchair,21-Oct-99,Ammonium,1000,320,0.021521286
7335,7335,49161,0.28,Busarakhan,22-Oct-99,Ammonium,1000,280,0.018831125
7362,7362,51176,0.23,Kannika,22-Oct-99,Ammonium,1000,230,0.015468424
7389,7389,51570,0.2,Kannika,22-Oct-99,Ammonium,1000,200,0.013450804
7416,7416,52333,0.25,Kannika,22-Oct-99,Ammonium,1000,250,0.016813505
7443,7443,52755,0.21,Sakda,23-Oct-99,Ammonium,1000,210,0.014123344
7470,7470,53152,0.22,Sakda,23-Oct-99,Ammonium,1000,220,0.014795884
7497,7497,53951,0.2,Sakda,23-Oct-99,Ammonium,1000,200,0.013450804
7524,7524,41304,0.19,Boonsri,05-Nov-99,Ammonium,1000,190,0.012778264
7548,7548,42049,0.12,Boonsri,05-Nov-99,Ammonium,1000,120,0.008070482
7573,7573,46052,5.5,Kohsoom,07-Nov-99,Ammonium,1000,5500,0.369897101
7597,7597,46473,0.46,Chai,18-Nov-99,Ammonium,1000,460,0.030936848
7624,7624,47241,0.82,Chai,18-Nov-99,Ammonium,1000,820,0.055148295
7651,7651,47650,0.84,Chai,18-Nov-99,Ammonium,1000,840,0.056493375
7678,7678,48419,2.61,Somchair,20-Nov-99,Ammonium,1000,2610,0.175532988
7705,7705,49194,1.38,Busarakhan,20-Nov-99,Ammonium,1000,1380,0.092810545
7732,7732,51211,0.71,Kannika,26-Nov-99,Ammonium,1000,710,0.047750353
7759,7759,51604,0.92,Kannika,26-Nov-99,Ammonium,1000,920,0.061873697
7786,7786,52368,0.87,Kannika,26-Nov-99,Ammonium,1000,870,0.058510996
7813,7813,52790,0.81,Sakda,26-Nov-99,Ammonium,1000,810,0.054475755
7840,7840,53186,1.07,Sakda,26-Nov-99,Ammonium,1000,1070,0.0719618
7867,7867,53986,0.99,Sakda,26-Nov-99,Ammonium,1000,990,0.066581478
7894,7894,41336,0.37,Boonsri,09-Dec-99,Ammonium,1000,370,0.024883987
7917,7917,42080,0.33,Boonsri,09-Dec-99,Ammonium,1000,330,0.022193826
7942,7942,46508,0.71,Chai,09-Dec-99,Ammonium,1000,710,0.047750353
7969,7969,47275,0.22,Chai,09-Dec-99,Ammonium,1000,220,0.014795884
7996,7996,47685,0.16,Chai,09-Dec-99,Ammonium,1000,160,0.010760643
8023,8023,48453,1.07,Somchair,10-Dec-99,Ammonium,1000,1070,0.0719618
8050,8050,49228,1.26,Busarakhan,10-Dec-99,Ammonium,1000,1260,0.084740063
8077,8077,46082,2.5,Kohsoom,11-Dec-99,Ammonium,1000,2500,0.168135046
8101,8101,52825,0.43,Sakda,15-Dec-99,Ammonium,1000,430,0.028919228
8128,8128,53220,0.34,Sakda,15-Dec-99,Ammonium,1000,340,0.022866366
8155,8155,54021,0.61,Sakda,15-Dec-99,Ammonium,1000,610,0.041024951
8182,8182,51246,0.26,Kannika,16-Dec-99,Ammonium,1000,260,0.017486045
8209,8209,51638,0.44,Kannika,16-Dec-99,Ammonium,1000,440,0.029591768
8236,8236,52403,0.36,Kannika,16-Dec-99,Ammonium,1000,360,0.024211447
8265,8265,97479,0.25,Boonsri,14-Jan-00,Ammonium,1000,250,0.016813505
8295,8295,98271,0.25,Boonsri,14-Jan-00,Ammonium,1000,250,0.016813505
8322,8322,104623,0.25,Chai,14-Jan-00,Ammonium,1000,250,0.016813505
8351,8351,105426,0.33,Chai,14-Jan-00,Ammonium,1000,330,0.022193826
8380,8380,106218,0.26,Chai,14-Jan-00,Ammonium,1000,260,0.017486045
8409,8409,107008,1.19,Somchair,15-Jan-00,Ammonium,1000,1190,0.080032282
8438,8438,107815,0.76,Busarakhan,15-Jan-00,Ammonium,1000,760,0.051113054
8467,8467,103815,2.2,Kohsoom,16-Jan-00,Ammonium,1000,2200,0.147958841
8494,8494,110652,1.83,Kannika,19-Jan-00,Ammonium,1000,1830,0.123074854
8523,8523,111453,2.35,Kannika,19-Jan-00,Ammonium,1000,2350,0.158046943
8552,8552,112250,2.63,Kannika,19-Jan-00,Ammonium,1000,2630,0.176878068
8581,8581,113049,2.93,Sakda,19-Jan-00,Ammonium,1000,2930,0.197054274
8610,8610,113850,0.92,Sakda,19-Jan-00,Ammonium,1000,920,0.061873697
8639,8639,114645,2.02,Sakda,19-Jan-00,Ammonium,1000,2020,0.135853117
8668,8668,96721,0.41,Boonsri,10-Feb-00,Ammonium,1000,410,0.027574148
8698,8698,97517,0.29,Boonsri,10-Feb-00,Ammonium,1000,290,0.019503665
8728,8728,98306,0.41,Boonsri,10-Feb-00,Ammonium,1000,410,0.027574148
8758,8758,103850,1.8,Kohsoom,12-Feb-00,Ammonium,1000,1800,0.121057233
8788,8788,104660,1.33,Chai,18-Feb-00,Ammonium,1000,1330,0.089447845
8817,8817,105463,1.08,Chai,18-Feb-00,Ammonium,1000,1080,0.07263434
8846,8846,106255,1.01,Chai,18-Feb-00,Ammonium,1000,1010,0.067926559
8875,8875,110689,0.26,Kannika,18-Feb-00,Ammonium,1000,260,0.017486045
8904,8904,111490,0.33,Kannika,18-Feb-00,Ammonium,1000,330,0.022193826
8933,8933,112287,0.18,Kannika,18-Feb-00,Ammonium,1000,180,0.012105723
8962,8962,107045,3.3,Somchair,19-Feb-00,Ammonium,1000,3300,0.221938261
8991,8991,107852,4.54,Busarakhan,19-Feb-00,Ammonium,1000,4540,0.305333244
9020,9020,113086,0.23,Sakda,19-Feb-00,Ammonium,1000,230,0.015468424
9049,9049,113887,0.39,Sakda,19-Feb-00,Ammonium,1000,390,0.026229067
